course,hole,hole_name,par,yards_white,yards_yellow,si,section
neath,1,,5,495,487,3,OUT
neath,2,,3,139,136,18,OUT
neath,3,,4,320,314,13,OUT
neath,4,,5,486,483,7,OUT
neath,5,,3,175,172,15,OUT
neath,6,,4,375,370,10,OUT
neath,7,,4,392,388,5,OUT
neath,8,,4,415,410,1,OUT
neath,9,,4,344,340,12,OUT
neath,10,,4,365,362,9,IN
neath,11,,4,346,342,14,IN
neath,12,,5,510,505,6,IN
neath,13,,4,460,452,2,IN
neath,14,,3,141,135,17,IN
neath,15,,4,391,378,11,IN
neath,16,,4,379,375,4,IN
neath,17,,3,195,189,16,IN
neath,18,,5,562,555,8,IN
