course,hole,hole_name,par,yards_white,yards_yellow,si,section
rolls_monmouth,1,Boxbush,4,401,376,10,OUT
rolls_monmouth,2,Old Trackway,4,353,339,14,OUT
rolls_monmouth,3,Duke of York,4,382,371,4,OUT
rolls_monmouth,4,Duchess of York,3,167,156,18,OUT
rolls_monmouth,5,Raglan,5,516,467,12,OUT
rolls_monmouth,6,Offa's Drive,4,437,407,2,OUT
rolls_monmouth,7,Dawn o'Day,5,536,510,8,OUT
rolls_monmouth,8,Gloucester’s Bridge,3,164,163,16,OUT
rolls_monmouth,9,Rose Garden,4,343,308,6,OUT
rolls_monmouth,10,Ha! Ha!,4,411,340,9,IN
rolls_monmouth,11,Panterris,4,331,304,17,IN
rolls_monmouth,12,The Long Drive,5,534,509,3,IN
rolls_monmouth,13,The Lake,3,190,169,7,IN
rolls_monmouth,14,Bowling Green,4,360,349,15,IN
rolls_monmouth,15,The Poplars,4,443,407,1,IN
rolls_monmouth,16,Great Oaks,4,385,365,13,IN
rolls_monmouth,17,The Park,5,556,544,5,IN
rolls_monmouth,18,The King,3,224,199,11,IN
