course,hole,hole_name,par,yards_white,yards_yellow,si,section
st_pierre_old,1,,5,574,554,5,OUT
st_pierre_old,2,,4,371,358,7,OUT
st_pierre_old,3,,3,167,150,17,OUT
st_pierre_old,4,,4,409,378,3,OUT
st_pierre_old,5,,4,370,359,9,OUT
st_pierre_old,6,,3,169,163,11,OUT
st_pierre_old,7,,5,523,479,15,OUT
st_pierre_old,8,,4,337,329,13,OUT
st_pierre_old,9,,4,431,396,1,OUT
st_pierre_old,10,,4,365,345,18,IN
st_pierre_old,11,,4,374,351,6,IN
st_pierre_old,12,,5,530,530,4,IN
st_pierre_old,13,,3,195,195,14,IN
st_pierre_old,14,,5,517,482,16,IN
st_pierre_old,15,,4,377,332,12,IN
st_pierre_old,16,,4,416,416,2,IN
st_pierre_old,17,,4,397,348,10,IN
st_pierre_old,18,,3,217,217,8,IN
