course,hole,hole_name,pro_tip,source_type,source_url,image_path,image_caption,official_hole_url
st_pierre_old,1,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,2,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,3,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,4,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,5,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,6,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,7,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,8,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,9,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,10,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,11,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,12,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,13,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,14,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,15,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,16,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,17,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
st_pierre_old,18,,,,,images/st_pierre_old/course_generic.jpg,Official championship course image reused across holes,
clyne,1,Y Twyn,The tee shot is best placed up the left-hand side of the fairway; the hole plays slightly uphill and the green slopes back to front.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,2,Trig Point,Favour the right-hand side from the tee to open the green; the elevated green is best played toward the middle.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,3,Clyne Wood,A straight ball flight is required from the elevated tee; laying up short of the cross bunkers is key.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,4,Keeper’s Cottage,The elevated green makes the shot play longer; anything short or right is punished.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,5,Road Hole,A 3-wood or hybrid up the left is advised; carry the front bunker and use the slope to feed the ball in.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,6,Penrice,A drive in the heart of the fairway leaves the ideal angle; the front-to-back green makes club selection critical.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,7,Ffordd Hir,Miss the right-side bunker off the tee to keep the option of reaching in two; the open front can feed a well-struck shot on.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,8,Fern Fall,Aim for the centre of the green; par is not to be taken for granted.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,9,Gwelfor,"Use the marker pole off the tee, get beyond the cross bunker, and beware the two right-side greenside bunkers.",official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,10,Owl’s Lodge,A drive just right of centre is ideal; the second shot plays uphill so take extra club.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,11,The Spire,A long straight drive is required; the green is huge so factor pin position heavily into club choice.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,12,Bant a Hi,A fraction short is the clever miss because the green slopes severely from back to front.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,13,The Gulley,Ideally favour the right from the tee; the second is demanding because of the large gully short of the green.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,14,The Kidney,"Clear the left fairway bunker to use the downslope, then favour the right on the approach and let the ground feed the ball left.",official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,15,Kestrel Way,"Keep the tee shot well left of the fairway bunkers; the short, blind approach still needs full concentration.",official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,16,Mumbles Head,Hit straight at the marker pole and be careful with club selection on the downhill approach.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,17,Quarry,Missing right gives the best chance of recovery; par is an excellent score here.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
clyne,18,Pen Y Dalar,Hit left side of fairway from the elevated tee and take less club on the approach because the ground feeds right.,official,https://www.clynegolfclub.com/course/hole-by-hole-tour/,,,https://www.clynegolfclub.com/course/hole-by-hole-tour/
neath,1,,"A generous fairway invites the drive, but the ideal line is left; the safe approach is the back of the green.",official,https://www.neathgolfclub.co.uk/course-tour,images/neath/hole_01/hole_01_01.jpg,,https://www.neathgolfclub.co.uk/course-tour
neath,2,,Club selection is paramount on the blind par 3; the left side of the green is the preferred target.,official,https://www.neathgolfclub.co.uk/copy-of-course-tour,images/neath/hole_02/hole_02_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-course-tour
neath,3,,"Positioning is everything on the dog-leg right, with the stream and trees shaping the line into the raised green.",official,https://www.neathgolfclub.co.uk/copy-of-hole-2,images/neath/hole_03/hole_03_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-2
neath,4,,"The generous fairway tempts you toward the left boundary, but out of bounds runs all the way down that side and behind the green.",official,https://www.neathgolfclub.co.uk/copy-of-hole-3,images/neath/hole_04/hole_04_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-3
neath,5,,Club selection and tee-shot placement are vital on this tricky short par 3.,official,https://www.neathgolfclub.co.uk/copy-of-hole-4,images/neath/hole_05/hole_05_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-4
neath,6,,Distance and spin control on the downhill approach are paramount; it is a birdie hole if played correctly.,official,https://www.neathgolfclub.co.uk/copy-of-hole-5,images/neath/hole_06/hole_06_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-5
neath,7,,Wind is a major factor from the elevated tee; wall left and heather right punish a poor drive.,official,https://www.neathgolfclub.co.uk/copy-of-hole-6,images/neath/hole_07/hole_07_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-6
neath,8,,This is one of the toughest par 4s on the course; the fairway must be found to have any chance of reaching in regulation.,official,https://www.neathgolfclub.co.uk/copy-of-hole-7,images/neath/hole_08/hole_08_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-7
neath,9,,"A short par 4 that offers birdie, but out of bounds left and the raised green still demand care.",official,https://www.neathgolfclub.co.uk/copy-of-hole-8,images/neath/hole_09/hole_09_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-8
neath,10,,A semi-blind tee shot sets up a signature hole; the green is protected by four bunkers and a ridge that creates two tiers.,official,https://www.neathgolfclub.co.uk/copy-of-hole-9,images/neath/hole_10/hole_10_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-9
neath,11,,"Downwind, long hitters can threaten the green; otherwise it is a short downhill par 4 and a scoring chance.",official,https://www.neathgolfclub.co.uk/copy-of-hole-10,images/neath/hole_11/hole_11_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-10
neath,12,,"An uphill par 5 with a generous fairway, but the undulating green is the main defence.",official,https://www.neathgolfclub.co.uk/copy-of-hole-11,images/neath/hole_12/hole_12_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-11
neath,13,,The fairway falls downhill all the way to the green; the approach from a slightly downhill lie is the real challenge.,official,https://www.neathgolfclub.co.uk/copy-of-hole-12,images/neath/hole_13/hole_13_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-12
neath,14,,"The shortest hole on the course, sheltered by a rock outcrop on the right and one of the better birdie chances.",official,https://www.neathgolfclub.co.uk/copy-of-hole-13,images/neath/hole_14/hole_14_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-13
neath,15,,"""The Pulpit"" drops around 80 feet from the top plateau to the bottom; wind and the green sloping away are the key defences.",official,https://www.neathgolfclub.co.uk/copy-of-hole-14,images/neath/hole_15/hole_15_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-14
neath,16,,A deceptive par 4 that rises to a brow before flattening; anything short of the green can run back off the front.,official,https://www.neathgolfclub.co.uk/copy-of-hole-15,images/neath/hole_16/hole_16_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-15
neath,17,,"The longest par 3 on the course; right is safer, but the preferred left-side finish brings more danger into play.",official,https://www.neathgolfclub.co.uk/copy-of-hole-16,images/neath/hole_17/hole_17_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-16
neath,18,,A long closing dog-leg right; finding the correct line from the tee is crucial to gain run and set up a birdie chance.,official,https://www.neathgolfclub.co.uk/copy-of-hole-17,images/neath/hole_18/hole_18_01.jpg,,https://www.neathgolfclub.co.uk/copy-of-hole-17
rolls_monmouth,1,Boxbush,Keep to the right of the fairway for the best angle into the deceptively long green.,official,https://www.therollsgolfclub.co.uk/course/the-course/,images/rolls_monmouth/hole_1.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/
rolls_monmouth,2,Old Trackway,Be past or right of the oak tree on the left and keep to the right side to avoid being blocked out.,official,https://www.therollsgolfclub.co.uk/course/the-course/,images/rolls_monmouth/hole_2.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/
rolls_monmouth,3,Duke of York,Try to keep the tee shot tight to the left side; too straight or too far right leaves a long approach.,official,https://www.therollsgolfclub.co.uk/course/the-course/,images/rolls_monmouth/hole_3.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/
rolls_monmouth,4,Duchess of York,Good club selection is required; anything past the hole leaves a fast and tricky putt.,official,https://www.therollsgolfclub.co.uk/course/the-course/,images/rolls_monmouth/hole_4.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/
rolls_monmouth,5,Raglan,Be positive with the approach because anything short can roll back off the front of the green.,official,https://www.therollsgolfclub.co.uk/course/the-course/,images/rolls_monmouth/hole_5.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/
rolls_monmouth,6,Offa's Drive,Keep the approach on the right side and below the hole to avoid one of the toughest putts on the course.,official,https://www.therollsgolfclub.co.uk/course/the-course/,images/rolls_monmouth/hole_6.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/
rolls_monmouth,7,Dawn o'Day,Favour the right side with the tee shot to use the slope and pick up extra distance.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/2/,images/rolls_monmouth/hole_7.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/2/
rolls_monmouth,8,Gloucester’s Bridge,Club selection is critical on the two-tier green; miss left and a very tough bunker shot awaits.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/2/,images/rolls_monmouth/hole_8.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/2/
rolls_monmouth,9,Rose Garden,Be careful with the approach because out of bounds is close behind the green; two putts is a good result.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/2/,images/rolls_monmouth/hole_9.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/2/
rolls_monmouth,10,Ha! Ha!,Keep to the right of the fairway for the best angle in; the green is deceptively long.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/2/,images/rolls_monmouth/hole_10.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/2/
rolls_monmouth,11,Panterris,"Big hitters may be tempted, but a good tee shot down the middle leaves a simple pitch.",official,https://www.therollsgolfclub.co.uk/course/the-course/page/2/,images/rolls_monmouth/hole_11.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/2/
rolls_monmouth,12,The Long Drive,Avoid the huge oak trees with the second shot and miss the bunkers either side of the green.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/2/,images/rolls_monmouth/hole_12.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/2/
rolls_monmouth,13,The Lake,Try to hit the middle of the green and take two putts; missing it leaves a difficult recovery from anywhere.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/3/,images/rolls_monmouth/hole_13.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/3/
rolls_monmouth,14,Bowling Green,A smart tee shot should leave roughly 130–150 yards; going too far leaves a tricky pitch to an elevated green.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/3/,images/rolls_monmouth/hole_14.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/3/
rolls_monmouth,15,The Poplars,"On the approach, keep the ball below the hole because putts running down this green are extremely quick.",official,https://www.therollsgolfclub.co.uk/course/the-course/page/3/,images/rolls_monmouth/hole_15.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/3/
rolls_monmouth,16,Great Oaks,The approach shot is most important because the wrong club selection leaves a huge putt.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/3/,images/rolls_monmouth/hole_16.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/3/
rolls_monmouth,17,The Park,"A testing par 5; on the approach, favour the left side and let the contours feed the ball to the green.",official,https://www.therollsgolfclub.co.uk/course/the-course/page/3/,images/rolls_monmouth/hole_17.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/3/
rolls_monmouth,18,The King,Take enough club to carry the water and avoid the large greenside bunker on this strong finishing par 3.,official,https://www.therollsgolfclub.co.uk/course/the-course/page/3/,images/rolls_monmouth/hole_18.jpg,,https://www.therollsgolfclub.co.uk/course/the-course/page/3/
