course,hole,field,value,source_url,source_type,notes
st_pierre_old,1,par,5,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,1,yards_white,574,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,1,yards_yellow,554,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,1,si,5,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,1,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,2,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,2,yards_white,371,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,2,yards_yellow,358,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,2,si,7,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,2,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,3,par,3,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,3,yards_white,167,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,3,yards_yellow,150,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,3,si,17,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,3,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,4,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,4,yards_white,409,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,4,yards_yellow,378,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,4,si,3,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,4,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,5,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,5,yards_white,370,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,5,yards_yellow,359,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,5,si,9,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,5,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,6,par,3,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,6,yards_white,169,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,6,yards_yellow,163,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,6,si,11,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,6,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,7,par,5,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,7,yards_white,523,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,7,yards_yellow,479,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,7,si,15,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,7,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,8,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,8,yards_white,337,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,8,yards_yellow,329,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,8,si,13,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,8,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,9,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,9,yards_white,431,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,9,yards_yellow,396,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,9,si,1,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,9,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,10,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,10,yards_white,365,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,10,yards_yellow,345,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,10,si,18,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,10,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,11,par,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,11,yards_white,374,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,11,yards_yellow,351,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,11,si,6,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,11,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,12,par,5,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,12,yards_white,530,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,12,yards_yellow,530,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,12,si,4,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,12,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,13,par,3,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,13,yards_white,195,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,13,yards_yellow,195,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,13,si,14,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,13,image,images/st_pierre_old/course_generic.jpg,https://marriott.cdn.tambourine.com/marriott-uk-golf/media/marriott-ukgolf-stpierre-course-championship-609ad71ed866c.jpg,official_course_image,Single official course image reused across holes.
st_pierre_old,14,par,5,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
st_pierre_old,14,yards_white,517,https://www.marriottgolf.co.uk/scorecards,official_web_scorecard,Championship Old Course values taken from official Marriott scorecard page.
